,Item_Names,Anti-Mage,Axe,Bane,Bloodseeker,Crystal Maiden,Drow Ranger,Earthshaker,Juggernaut,Mirana,Morphling,Shadow Fiend,Phantom Lancer,Puck,Pudge,Razor,Sand King,Storm Spirit,Sven,Tiny,Vengeful Spirit,Windranger,Zeus,Kunkka,Lina,Lion,Shadow Shaman,Slardar,Tidehunter,Witch Doctor,Lich,Riki,Enigma,Tinker,Sniper,Necrophos,Warlock,Beastmaster,Queen of Pain,Venomancer,Faceless Void,Wraith King,Death Prophet,Phantom Assassin,Pugna,Templar Assassin,Viper,Luna,Dragon Knight,Dazzle,Clockwerk,Leshrac,Nature's Prophet,Lifestealer,Dark Seer,Clinkz,Omniknight,Enchantress,Huskar,Night Stalker,Broodmother,Bounty Hunter,Weaver,Jakiro,Batrider,Chen,Spectre,Ancient Apparition,Doom,Ursa,Spirit Breaker,Gyrocopter,Alchemist,Invoker,Silencer,Outworld Devourer,Lycan,Brewmaster,Shadow Demon,Lone Druid,Chaos Knight,Meepo,Treant Protector,Ogre Magi,Undying,Rubick,Disruptor,Nyx Assassin,Naga Siren,Keeper of the Light,Io,Visage,Slark,Medusa,Troll Warlord,Centaur Warrunner,Magnus,Timbersaw,Bristleback,Tusk,Skywrath Mage,Abaddon,Elder Titan,Legion Commander,Techies,Ember Spirit,Earth Spirit,Terrorblade,Phoenix,Oracle,Winter Wyvern
45,travel_boots,"{'butterfly', 'manta', 'abyssal_blade', 'ultimate_scepter', 'heart'}","{'greater_crit', 'blade_mail', 'ultimate_scepter', 'assault', 'heart'}","{'radiance', 'monkey_king_bar', 'greater_crit', 'ultimate_scepter', 'assault'}","{'radiance', 'monkey_king_bar', 'ultimate_scepter', 'sange_and_yasha', 'heart'}","{'radiance', 'monkey_king_bar', 'octarine_core', 'manta', 'assault'}","{'butterfly', 'monkey_king_bar', 'manta', 'black_king_bar', 'greater_crit'}","{'radiance', 'monkey_king_bar', 'octarine_core', 'greater_crit', 'assault'}","{'butterfly', 'monkey_king_bar', 'abyssal_blade', 'ultimate_scepter', 'assault'}","{'radiance', 'monkey_king_bar', 'greater_crit', 'ultimate_scepter', 'assault'}","{'radiance', 'monkey_king_bar', 'manta', 'ethereal_blade', 'ultimate_scepter'}","{'butterfly', 'monkey_king_bar', 'ultimate_scepter', 'assault', 'skadi'}","{'manta', 'diffusal_blade_2', 'skadi', 'tpscroll', 'heart'}","{'monkey_king_bar', 'sheepstick', 'manta', 'dagon_5', 'ultimate_scepter'}","{'radiance', 'monkey_king_bar', 'ultimate_scepter', 'assault', 'heart'}","{'manta', 'ultimate_scepter', 'assault', 'sange_and_yasha', 'heart'}","{'radiance', 'monkey_king_bar', 'octarine_core', 'ultimate_scepter', 'heart'}","{'monkey_king_bar', 'sheepstick', 'bloodstone', 'ultimate_scepter', 'shivas_guard'}","{'black_king_bar', 'greater_crit', 'ultimate_scepter', 'assault', 'mask_of_madness'}","{'greater_crit', 'moon_shard', 'ultimate_scepter', 'assault', 'blink'}","{'butterfly', 'manta', 'greater_crit', 'ultimate_scepter', 'assault'}","{'monkey_king_bar', 'black_king_bar', 'greater_crit', 'ultimate_scepter', 'assault'}","{'octarine_core', 'refresher', 'ultimate_scepter', 'tpscroll', 'heart'}","{'monkey_king_bar', 'silver_edge', 'manta', 'greater_crit', 'assault'}","{'monkey_king_bar', 'octarine_core', 'manta', 'ultimate_scepter', 'assault'}","{'radiance', 'monkey_king_bar', 'octarine_core', 'assault', 'heart'}","{'radiance', 'monkey_king_bar', 'manta', 'refresher', 'ultimate_scepter'}","{'radiance', 'monkey_king_bar', 'black_king_bar', 'ultimate_scepter', 'assault'}","{'radiance', 'monkey_king_bar', 'black_king_bar', 'refresher', 'tpscroll'}","{'radiance', 'monkey_king_bar', 'greater_crit', 'ultimate_scepter', 'assault'}","{'radiance', 'monkey_king_bar', 'octarine_core', 'greater_crit', 'assault'}","{'gem', 'manta', 'abyssal_blade', 'greater_crit', 'ultimate_scepter'}","{'monkey_king_bar', 'octarine_core', 'black_king_bar', 'refresher', 'ultimate_scepter'}","{'monkey_king_bar', 'dagon_5', 'ethereal_blade', 'bottle', 'soul_ring'}","{'mjollnir', 'manta', 'greater_crit', 'ultimate_scepter', 'assault'}","{'radiance', 'octarine_core', 'ultimate_scepter', 'assault', 'tpscroll'}","{'radiance', 'octarine_core', 'refresher', 'ultimate_scepter', 'tpscroll'}","{'radiance', 'ultimate_scepter', 'assault', 'necronomicon_3', 'force_staff'}","{'monkey_king_bar', 'sheepstick', 'ultimate_scepter', 'assault', 'shivas_guard'}","{'monkey_king_bar', 'octarine_core', 'greater_crit', 'ultimate_scepter', 'assault'}","{'monkey_king_bar', 'black_king_bar', 'greater_crit', 'ultimate_scepter', 'mask_of_madness'}","{'radiance', 'monkey_king_bar', 'manta', 'ultimate_scepter', 'assault'}","{'octarine_core', 'ultimate_scepter', 'assault', 'force_staff', 'tpscroll'}","{'monkey_king_bar', 'abyssal_blade', 'black_king_bar', 'ultimate_scepter', 'assault'}","{'radiance', 'octarine_core', 'manta', 'ultimate_scepter', 'assault'}","{'monkey_king_bar', 'desolator', 'black_king_bar', 'greater_crit', 'ultimate_scepter'}","{'monkey_king_bar', 'manta', 'ultimate_scepter', 'assault', 'heart'}","{'butterfly', 'monkey_king_bar', 'manta', 'ultimate_scepter', 'satanic'}","{'manta', 'black_king_bar', 'greater_crit', 'ultimate_scepter', 'assault'}","{'radiance', 'monkey_king_bar', 'manta', 'guardian_greaves', 'assault'}","{'monkey_king_bar', 'octarine_core', 'greater_crit', 'blade_mail', 'heart'}","{'octarine_core', 'bloodstone', 'ultimate_scepter', 'tpscroll', 'heart'}","{'monkey_king_bar', 'octarine_core', 'manta', 'greater_crit', 'assault'}","{'radiance', 'abyssal_blade', 'ultimate_scepter', 'assault', 'sange_and_yasha'}","{'radiance', 'monkey_king_bar', 'manta', 'ultimate_scepter', 'shivas_guard'}","{'monkey_king_bar', 'manta', 'black_king_bar', 'greater_crit', 'ultimate_scepter'}","{'radiance', 'monkey_king_bar', 'manta', 'ultimate_scepter', 'assault'}","{'manta', 'ultimate_scepter', 'assault', 'skadi', 'force_staff'}","{'manta', 'ultimate_scepter', 'assault', 'satanic', 'heart'}","{'radiance', 'gem', 'manta', 'ultimate_scepter', 'assault'}","{'radiance', 'greater_crit', 'assault', 'necronomicon_3', 'vladmir'}","{'radiance', 'monkey_king_bar', 'octarine_core', 'manta', 'heart'}","{'radiance', 'monkey_king_bar', 'desolator', 'black_king_bar', 'heart'}","{'radiance', 'octarine_core', 'manta', 'greater_crit', 'assault'}","{'radiance', 'shivas_guard', 'ultimate_scepter', 'assault', 'force_staff'}","{'octarine_core', 'manta', 'black_king_bar', 'greater_crit', 'ultimate_scepter'}","{'radiance', 'manta', 'ultimate_scepter', 'force_staff', 'heart'}","{'radiance', 'octarine_core', 'greater_crit', 'ultimate_scepter', 'heart'}","{'refresher', 'ultimate_scepter', 'assault', 'shivas_guard', 'heart'}","{'monkey_king_bar', 'octarine_core', 'abyssal_blade', 'assault', 'vladmir'}","{'radiance', 'monkey_king_bar', 'manta', 'ultimate_scepter', 'assault'}","{'monkey_king_bar', 'butterfly', 'assault', 'satanic', 'force_staff'}","{'radiance', 'octarine_core', 'manta', 'force_staff', 'tpscroll'}","{'monkey_king_bar', 'octarine_core', 'ultimate_scepter', 'assault', 'tpscroll'}","{'radiance', 'sheepstick', 'manta', 'greater_crit', 'assault'}","{'octarine_core', 'ultimate_scepter', 'assault', 'force_staff', 'tpscroll'}","{'black_king_bar', 'bottle', 'ultimate_scepter', 'assault', 'vladmir'}","{'greater_crit', 'ultimate_scepter', 'assault', 'vladmir', 'shivas_guard'}","{'radiance', 'monkey_king_bar', 'octarine_core', 'guardian_greaves', 'assault'}","{'monkey_king_bar', 'manta', 'ultimate_scepter', 'assault', 'vladmir'}","{'manta', 'armlet', 'ultimate_scepter', 'assault', 'heart'}","{'sheepstick', 'ethereal_blade', 'ultimate_scepter', 'force_staff', 'tpscroll'}","{'radiance', 'butterfly', 'octarine_core', 'ultimate_scepter', 'tpscroll'}","{'radiance', 'octarine_core', 'greater_crit', 'ultimate_scepter', 'assault'}","{'radiance', 'monkey_king_bar', 'manta', 'greater_crit', 'ultimate_scepter'}","{'radiance', 'monkey_king_bar', 'manta', 'greater_crit', 'assault'}","{'radiance', 'manta', 'greater_crit', 'ultimate_scepter', 'assault'}","{'radiance', 'butterfly', 'monkey_king_bar', 'octarine_core', 'manta'}","{'radiance', 'octarine_core', 'manta', 'ultimate_scepter', 'force_staff'}","{'octarine_core', 'manta', 'ultimate_scepter', 'skadi', 'heart'}","{'monkey_king_bar', 'glimmer_cape', 'manta', 'guardian_greaves', 'assault'}","{'octarine_core', 'manta', 'ultimate_scepter', 'assault', 'solar_crest'}","{'monkey_king_bar', 'black_king_bar', 'ultimate_scepter', 'assault', 'skadi'}","{'monkey_king_bar', 'greater_crit', 'ultimate_scepter', 'skadi', 'sphere'}","{'monkey_king_bar', 'black_king_bar', 'greater_crit', 'ultimate_scepter', 'skadi'}","{'radiance', 'monkey_king_bar', 'ultimate_scepter', 'assault', 'heart'}","{'refresher', 'ultimate_scepter', 'force_staff', 'tpscroll', 'blink'}","{'monkey_king_bar', 'bloodstone', 'black_king_bar', 'ultimate_scepter', 'shivas_guard'}","{'octarine_core', 'ultimate_scepter', 'assault', 'tpscroll', 'heart'}","{'radiance', 'silver_edge', 'desolator', 'greater_crit', 'assault'}","{'radiance', 'monkey_king_bar', 'octarine_core', 'greater_crit', 'assault'}","{'radiance', 'monkey_king_bar', 'manta', 'ultimate_scepter', 'assault'}","{'gem', 'manta', 'greater_crit', 'assault', 'heart'}","{'monkey_king_bar', 'manta', 'black_king_bar', 'greater_crit', 'assault'}","{'butterfly', 'octarine_core', 'manta', 'greater_crit', 'ultimate_scepter'}","{'monkey_king_bar', 'greater_crit', 'ultimate_scepter', 'assault', 'skadi'}","{'radiance', 'monkey_king_bar', 'manta', 'ultimate_scepter', 'assault'}","{'butterfly', 'manta', 'black_king_bar', 'ultimate_scepter', 'skadi'}","{'octarine_core', 'manta', 'ultimate_scepter', 'assault', 'heart'}","{'radiance', 'monkey_king_bar', 'manta', 'greater_crit', 'assault'}","{'radiance', 'monkey_king_bar', 'manta', 'greater_crit', 'assault'}"
46,phase_boots,"{'manta', 'abyssal_blade', 'desolator', 'basher', 'heart'}","{'desolator', 'ultimate_scepter', 'ring_of_aquila', 'null_talisman', 'tpscroll'}","{'monkey_king_bar', 'black_king_bar', 'bottle', 'ring_of_aquila', 'tpscroll'}","{'monkey_king_bar', 'poor_mans_shield', 'desolator', 'ultimate_scepter', 'cyclone'}","{'monkey_king_bar', 'helm_of_the_dominator', 'desolator', 'black_king_bar', 'ultimate_scepter'}","{'greater_crit', 'ultimate_scepter', 'ring_of_aquila', 'lesser_crit', 'null_talisman'}","{'greater_crit', 'bottle', 'ultimate_scepter', 'ring_of_aquila', 'sange_and_yasha'}","{'monkey_king_bar', 'manta', 'bottle', 'ultimate_scepter', 'ring_of_aquila'}","{'monkey_king_bar', 'helm_of_the_dominator', 'manta', 'black_king_bar', 'bottle'}","{'manta', 'bottle', 'ultimate_scepter', 'ring_of_aquila', 'tpscroll'}","{'helm_of_the_dominator', 'ancient_janggo', 'bottle', 'ultimate_scepter', 'ring_of_aquila'}","{'manta', 'desolator', 'bottle', 'ultimate_scepter', 'diffusal_blade'}","{'ancient_janggo', 'desolator', 'ultimate_scepter', 'null_talisman', 'tpscroll'}","{'ancient_janggo', 'desolator', 'bottle', 'ultimate_scepter', 'ring_of_aquila'}","{'black_king_bar', 'ultimate_scepter', 'mekansm', 'tpscroll', 'blink'}","{'ancient_janggo', 'bottle', 'greater_crit', 'ultimate_scepter', 'blink'}","{'bottle', 'ultimate_scepter', 'ring_of_aquila', 'null_talisman', 'tpscroll'}","{'desolator', 'greater_crit', 'lesser_crit', 'ultimate_scepter', 'mask_of_madness'}","{'ancient_janggo', 'bottle', 'ultimate_scepter', 'assault', 'tpscroll'}","{'helm_of_the_dominator', 'ancient_janggo', 'bottle', 'ultimate_scepter', 'tpscroll'}","{'bottle', 'greater_crit', 'null_talisman', 'magic_wand', 'tpscroll'}","{'ancient_janggo', 'desolator', 'bottle', 'ultimate_scepter', 'sange_and_yasha'}","{'monkey_king_bar', 'silver_edge', 'greater_crit', 'ultimate_scepter', 'tpscroll'}","{'monkey_king_bar', 'desolator', 'black_king_bar', 'ogre_axe', 'sange_and_yasha'}","{'ancient_janggo', 'tranquil_boots', 'ultimate_scepter', 'ring_of_aquila', 'tpscroll'}","{'monkey_king_bar', 'ancient_janggo', 'ultimate_scepter', 'ring_of_aquila', 'tpscroll'}","{'desolator', 'tranquil_boots', 'ultimate_scepter', 'force_staff', 'tpscroll'}","{'desolator', 'black_king_bar', 'refresher', 'ultimate_scepter', 'tpscroll'}","{'ancient_janggo', 'ultimate_scepter', 'ring_of_aquila', 'sange_and_yasha', 'tpscroll'}","{'ancient_janggo', 'bottle', 'ultimate_scepter', 'magic_wand', 'tpscroll'}","{'poor_mans_shield', 'diffusal_blade_2', 'bottle', 'black_king_bar', 'ultimate_scepter'}","{'desolator', 'greater_crit', 'bottle', 'ultimate_scepter', 'tpscroll'}","{'invis_sword', 'desolator', 'sange_and_yasha', 'ring_of_aquila', 'vladmir'}","{'monkey_king_bar', 'helm_of_the_dominator', 'black_king_bar', 'ring_of_aquila', 'sange_and_yasha'}","{'desolator', 'ultimate_scepter', 'magic_wand', 'tpscroll', 'blink'}","{'desolator', 'black_king_bar', 'refresher', 'ultimate_scepter', 'tpscroll'}","{'monkey_king_bar', 'desolator', 'black_king_bar', 'ultimate_scepter', 'sange_and_yasha'}","{'desolator', 'bottle', 'ultimate_scepter', 'null_talisman', 'tpscroll'}","{'desolator', 'bottle', 'ultimate_scepter', 'ring_of_aquila', 'sange_and_yasha'}","{'poor_mans_shield', 'desolator', 'greater_crit', 'null_talisman', 'mask_of_madness'}","{'ancient_janggo', 'desolator', 'ultimate_scepter', 'maelstrom', 'null_talisman'}","{'helm_of_the_dominator', 'octarine_core', 'travel_boots', 'ultimate_scepter', 'tpscroll'}","{'monkey_king_bar', 'abyssal_blade', 'black_king_bar', 'ultimate_scepter', 'tpscroll'}","{'greater_crit', 'ring_of_aquila', 'maelstrom', 'magic_wand', 'tpscroll'}","{'desolator', 'greater_crit', 'bottle', 'ultimate_scepter', 'ring_of_aquila'}","{'monkey_king_bar', 'manta', 'desolator', 'black_king_bar', 'ring_of_aquila'}","{'manta', 'desolator', 'bottle', 'ultimate_scepter', 'ring_of_aquila'}","{'monkey_king_bar', 'desolator', 'black_king_bar', 'ultimate_scepter', 'maelstrom'}","{'desolator', 'ultimate_scepter', 'magic_wand', 'mekansm', 'tpscroll'}","{'helm_of_the_dominator', 'manta', 'black_king_bar', 'bottle', 'sange_and_yasha'}","{'black_king_bar', 'bloodstone', 'ultimate_scepter', 'null_talisman', 'tpscroll'}","{'invis_sword', 'desolator', 'bottle', 'ultimate_scepter', 'null_talisman'}","{'quelling_blade', 'monkey_king_bar', 'ultimate_scepter', 'assault', 'sange_and_yasha'}","{'soul_ring', 'ultimate_scepter', 'magic_wand', 'mekansm', 'tpscroll'}","{'desolator', 'greater_crit', 'lesser_crit', 'ring_of_aquila', 'ultimate_scepter'}","{'helm_of_the_dominator', 'desolator', 'ultimate_scepter', 'magic_wand', 'tpscroll'}","{'helm_of_the_dominator', 'black_king_bar', 'maelstrom', 'ogre_axe', 'tpscroll'}","{'helm_of_the_dominator', 'desolator', 'armlet', 'bottle', 'ultimate_scepter'}","{'monkey_king_bar', 'helm_of_the_dominator', 'black_king_bar', 'ultimate_scepter', 'sange_and_yasha'}","{'desolator', 'black_king_bar', 'orchid', 'ultimate_scepter', 'ring_of_aquila'}","{'monkey_king_bar', 'helm_of_the_dominator', 'manta', 'desolator', 'ultimate_scepter'}","{'monkey_king_bar', 'desolator', 'greater_crit', 'ultimate_scepter', 'ring_of_aquila'}","{'ancient_janggo', 'bottle', 'ultimate_scepter', 'tpscroll', 'blink'}","{'monkey_king_bar', 'black_king_bar', 'ultimate_scepter', 'ring_of_aquila', 'force_staff'}","{'bottle', 'ultimate_scepter', 'ring_of_basilius', 'null_talisman', 'magic_wand'}","{'radiance', 'manta', 'ultimate_scepter', 'tpscroll', 'heart'}","{'monkey_king_bar', 'bottle', 'hand_of_midas', 'boots', 'tpscroll'}","{'helm_of_the_dominator', 'manta', 'black_king_bar', 'ultimate_scepter', 'assault'}","{'travel_boots', 'manta', 'abyssal_blade', 'ultimate_scepter', 'vladmir'}","{'monkey_king_bar', 'helm_of_the_dominator', 'desolator', 'ultimate_scepter', 'tpscroll'}","{'monkey_king_bar', 'black_king_bar', 'bottle', 'ultimate_scepter', 'satanic'}","{'radiance', 'octarine_core', 'manta', 'ultimate_scepter', 'tpscroll'}","{'helm_of_the_dominator', 'manta', 'black_king_bar', 'orchid', 'tpscroll'}","{'desolator', 'ultimate_scepter', 'null_talisman', 'force_staff', 'tpscroll'}","{'ancient_janggo', 'black_king_bar', 'ultimate_scepter', 'force_staff', 'tpscroll'}","{'quelling_blade', 'bottle', 'ultimate_scepter', 'maelstrom', 'vladmir'}","{'bottle', 'stout_shield', 'ultimate_scepter', 'assault', 'vladmir'}","{'bottle', 'null_talisman', 'magic_wand', 'force_staff', 'tpscroll'}","{'desolator', 'ultimate_scepter', 'basher', 'maelstrom', 'vladmir'}","{'manta', 'desolator', 'ultimate_scepter', 'null_talisman', 'tpscroll'}","{'sheepstick', 'desolator', 'ultimate_scepter', 'ring_of_aquila', 'null_talisman'}","{'desolator', 'greater_crit', 'bottle', 'ultimate_scepter', 'tpscroll'}","{'helm_of_the_dominator', 'black_king_bar', 'maelstrom', 'null_talisman', 'tpscroll'}","{'desolator', 'ultimate_scepter', 'arcane_boots', 'magic_wand', 'tpscroll'}","{'desolator', 'ultimate_scepter', 'null_talisman', 'sange_and_yasha', 'force_staff'}","{'desolator', 'greater_crit', 'ultimate_scepter', 'sange_and_yasha', 'tpscroll'}","{'desolator', 'ultimate_scepter', 'ring_of_aquila', 'null_talisman', 'force_staff'}","{'radiance', 'octarine_core', 'manta', 'ultimate_scepter', 'tpscroll'}","{'desolator', 'dust', 'ultimate_scepter', 'ring_of_aquila', 'null_talisman'}","{'black_king_bar', 'ultimate_scepter', 'magic_wand', 'tpscroll', 'blink'}","{'solar_crest', 'ultimate_scepter', 'maelstrom', 'mekansm', 'sange_and_yasha'}","{'ancient_janggo', 'desolator', 'bottle', 'ultimate_scepter', 'skadi'}","{'manta', 'ultimate_scepter', 'magic_wand', 'skadi', 'tpscroll'}","{'monkey_king_bar', 'travel_boots', 'black_king_bar', 'greater_crit', 'sange_and_yasha'}","{'monkey_king_bar', 'desolator', 'ultimate_scepter', 'ring_of_aquila', 'tpscroll'}","{'ancient_janggo', 'ultimate_scepter', 'ring_of_aquila', 'force_staff', 'tpscroll'}","{'black_king_bar', 'bottle', 'bloodstone', 'ultimate_scepter', 'sange_and_yasha'}","{'desolator', 'bottle', 'ultimate_scepter', 'ring_of_basilius', 'null_talisman'}","{'silver_edge', 'desolator', 'bottle', 'ultimate_scepter', 'tpscroll'}","{'desolator', 'bottle', 'ultimate_scepter', 'rod_of_atos', 'tpscroll'}","{'helm_of_the_dominator', 'black_king_bar', 'ultimate_scepter', 'basher', 'sange_and_yasha'}","{'helm_of_the_dominator', 'black_king_bar', 'greater_crit', 'soul_ring', 'tpscroll'}","{'desolator', 'ultimate_scepter', 'maelstrom', 'null_talisman', 'tpscroll'}","{'desolator', 'bottle', 'ultimate_scepter', 'magic_wand', 'tpscroll'}","{'black_king_bar', 'bottle', 'greater_crit', 'ultimate_scepter', 'tpscroll'}","{'ancient_janggo', 'desolator', 'bottle', 'ultimate_scepter', 'tpscroll'}","{'manta', 'desolator', 'bottle', 'ultimate_scepter', 'skadi'}","{'bottle', 'tranquil_boots', 'ultimate_scepter', 'mekansm', 'tpscroll'}","{'black_king_bar', 'ultimate_scepter', 'null_talisman', 'magic_wand', 'tpscroll'}","{'desolator', 'tranquil_boots', 'soul_ring', 'ultimate_scepter', 'tpscroll'}"
47,demon_edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'power_treads'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,eagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,reaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'power_treads', 'tranquil_boots', 'blink'}",,,,,,,,,,,,,,,
50,relic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,hyperstone,,,,,,,,,,,,,,,,,,,"{'power_treads', 'ultimate_scepter', 'arcane_boots', 'tpscroll', 'blink'}",,,,,,,,,,,,,,,,,,,,,,{'power_treads'},,,,,,,{'power_treads'},,,,,{'power_treads'},,,,,,,,,,,,,,,,,{'power_treads'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'blink', 'power_treads'}",,,,,,,
52,ring_of_health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,void_stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,mystic_staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'force_staff', 'tpscroll', 'power_treads'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,energy_booster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
